name,year,selling_price_inr,km_driven,fuel,seller_type,transmission,owner,seats,engine_cc,max_power_bhp,brand
BMW 3 Series 320d Luxury Line,2014.0,2150000.0,69000.0,Diesel,Dealer,Automatic,First Owner,5,1995.0,184.0,BMW
Maruti Alto K10 2010-2014 VXI,2010.0,245000.00000000003,78000.0,Petrol,Dealer,Manual,First Owner,5,998.0,67.1,Maruti
Mahindra Scorpio VLX 2WD BSIII,2012.0,459999.0,70000.0,Diesel,Individual,Manual,First Owner,8,2179.0,120.0,Mahindra
Hyundai i20 2015-2017 Sportz 1.4 CRDi,2017.0,675000.0,34000.0,Diesel,Dealer,Manual,First Owner,5,1396.0,88.73,Hyundai
Hyundai Grand i10 Sportz,2017.0,550000.0,23456.0,Petrol,Dealer,Manual,First Owner,5,1197.0,82.0,Hyundai
Honda Civic 1.8 S MT,2008.0,195000.0,58000.0,Petrol,Dealer,Manual,First Owner,5,1799.0,130.0,Honda
Honda WR-V i-VTEC VX,2017.0,819999.0,30000.0,Petrol,Dealer,Manual,First Owner,5,1199.0,88.7,Honda
Ford Ecosport 2015-2021 1.5 Petrol Titanium,2017.0,725000.0,14636.0,Petrol,Dealer,Manual,First Owner,5,1496.0,120.69,Ford
Maruti Alto K10 Knightracer,2013.0,230000.0,70000.0,Petrol,Individual,Manual,First Owner,5,998.0,67.1,Maruti
Jeep Compass 1.4 Limited,2019.0,1450000.0,22000.0,Petrol,Dealer,Automatic,First Owner,5,1368.0,160.0,Jeep
Maruti Vitara Brezza LDi Option,2017.0,670000.0,70000.0,Diesel,Individual,Manual,First Owner,5,1248.0,88.5,Maruti
Hyundai Santro Xing GLS,2010.0,180000.0,55000.0,Petrol,Individual,Manual,Fourth & Above Owner,5,1086.0,62.1,Hyundai
Mahindra Scorpio 1.99 S10,2015.0,900000.0,120000.0,Diesel,Individual,Manual,First Owner,7,1997.0,120.0,Mahindra
Ford Figo Diesel Titanium,2011.0,225000.0,90000.0,Diesel,Individual,Manual,Second Owner,5,1399.0,68.0,Ford
Skoda Rapid 1.5 TDI AT Style BSIV,2017.0,650000.0,130200.0,Diesel,Individual,Automatic,First Owner,5,1498.0,108.6,Skoda
Mahindra Bolero PLUS AC,2016.0,585000.0,58800.0,Diesel,Dealer,Manual,First Owner,7,2523.0,63.0,Mahindra
Hyundai Creta 1.4 CRDi S,2018.0,1050000.0,70000.0,Diesel,Individual,Manual,First Owner,5,1396.0,88.7,Hyundai
Maruti Swift VXI,2019.0,595000.0,10000.0,Petrol,Individual,Manual,First Owner,5,1197.0,81.8,Maruti
Hyundai Xcent 1.1 CRDi S,2014.0,400000.0,55000.0,Diesel,Dealer,Manual,First Owner,5,1120.0,71.0,Hyundai
Hyundai i20 Asta Option CVT BSIV,2018.0,790000.0,40000.0,Petrol,Individual,Automatic,First Owner,5,1197.0,81.86,Hyundai
Honda City 2017-2020 VTEC Plus,2007.0,230000.0,77034.0,Petrol,Dealer,Manual,First Owner,5,1497.0,100.0,Honda
Audi A6 2.0 TDI,2013.0,1775000.0,68800.0,Diesel,Dealer,Automatic,First Owner,5,1968.0,174.33,Audi
Hyundai EON Magna Plus,2014.0,249000.00000000003,34000.0,Petrol,Dealer,Manual,First Owner,5,814.0,55.2,Hyundai
Maruti Wagon R CNG LXI,2014.0,335000.0,83521.0,CNG,Dealer,Manual,First Owner,5,998.0,58.33,Maruti
Jaguar XF 2.0 Diesel Portfolio,2016.0,3450000.0,20837.0,Diesel,Dealer,Automatic,First Owner,5,1999.0,177.0,Jaguar
Hyundai Verna 1.6 SX,2015.0,685000.0,90000.0,Diesel,Dealer,Manual,First Owner,5,1582.0,126.32,Hyundai
Mahindra XUV500 W4 1.99 mHawk,2015.0,925000.0,57000.0,Diesel,Individual,Manual,First Owner,7,1997.0,140.0,Mahindra
Mercedes-Benz E-Class E250 CDI Avantgarde,2014.0,1999000.0,80000.0,Diesel,Dealer,Automatic,First Owner,5,2143.0,203.0,Mercedes-Benz
Chevrolet Beat LT,2015.0,300000.0,49000.0,Petrol,Dealer,Manual,First Owner,5,1199.0,76.8,Chevrolet
Volkswagen Vento 1.2 TSI Highline AT,2019.0,1150000.0,10000.0,Petrol,Dealer,Automatic,First Owner,5,1197.0,103.2,Volkswagen
Hyundai i20 Sportz Option 1.4 CRDi,2015.0,625000.0,76430.0,Diesel,Dealer,Manual,First Owner,5,1396.0,88.73,Hyundai
Maruti Vitara Brezza VDi,2018.0,745000.0,52000.0,Diesel,Dealer,Manual,First Owner,5,1248.0,88.5,Maruti
Ford Figo Petrol Titanium,2010.0,229999.0,120000.0,Petrol,Individual,Manual,Third Owner,5,1196.0,70.0,Ford
Maruti Eeco 7 Seater Standard BSIV,2018.0,360000.0,59000.0,Petrol,Individual,Manual,First Owner,7,1196.0,73.0,Maruti
Datsun GO Plus T BSIV,2016.0,320000.0,52000.0,Petrol,Individual,Manual,First Owner,7,1198.0,67.0,Datsun
Maruti Ritz LDi,2012.0,212000.0,106559.0,Diesel,Dealer,Manual,First Owner,5,1248.0,73.94,Maruti
Hyundai Grand i10 Nios AMT Sportz,2019.0,650000.0,10000.0,Petrol,Individual,Automatic,First Owner,5,1197.0,81.86,Hyundai
Maruti Alto LX,2004.0,60000.0,113000.0,Petrol,Individual,Manual,Second Owner,5,796.0,46.3,Maruti
Mahindra XUV500 W7 BSIV,2018.0,1150000.0,29000.0,Diesel,Individual,Manual,First Owner,7,2179.0,152.87,Mahindra
Hyundai Verna CRDi 1.6 SX Option,2017.0,850000.0,35000.0,Diesel,Individual,Manual,Third Owner,5,1582.0,126.2,Hyundai
Honda Jazz 1.2 V i VTEC,2016.0,575000.0,22000.0,Petrol,Dealer,Manual,First Owner,5,1199.0,88.7,Honda
Tata Tigor 1.2 Revotron XZ Option,2018.0,600000.0,15000.0,Petrol,Individual,Manual,First Owner,5,1199.0,84.0,Tata
BMW 3 Series 320d Sport,2014.0,1600000.0,23746.0,Diesel,Dealer,Automatic,First Owner,5,1995.0,190.0,BMW
Toyota Corolla Altis Diesel D4DG,2011.0,365000.0,185000.0,Diesel,Individual,Manual,Second Owner,5,1364.0,87.2,Toyota
Skoda Rapid Ultima 1.6 TDI Elegance,2013.0,380000.0,90000.0,Diesel,Individual,Manual,Second Owner,5,1598.0,103.5,Skoda
Tata Indica DLS BSIII,2014.0,120000.0,120000.0,Diesel,Individual,Manual,First Owner,5,1405.0,48.21,Tata
Mahindra XUV500 W8 AWD,2012.0,780000.0,120000.0,Diesel,Individual,Manual,First Owner,7,2179.0,140.0,Mahindra
Skoda Rapid 1.6 MPI AT Ambition Plus,2013.0,239000.0,50000.0,Petrol,Individual,Automatic,First Owner,5,1598.0,103.6,Skoda
Maruti Swift 1.3 VXi,2009.0,198000.0,91000.0,Petrol,Individual,Manual,Second Owner,5,1130.3258167100319,72.96410345829393,Maruti
Nissan Micra Diesel XV,2010.0,100000.0,50000.0,Diesel,Individual,Manual,First Owner,5,1461.0,63.1,Nissan
Mahindra TUV 300 T8,2016.0,750000.0,59000.0,Diesel,Dealer,Manual,First Owner,7,1493.0,100.0,Mahindra
Skoda Rapid 1.5 TDI AT Ambition,2016.0,675000.0,48000.0,Diesel,Dealer,Automatic,First Owner,5,1498.0,103.52,Skoda
Skoda Rapid 1.5 TDI Elegance,2014.0,510000.0,76000.0,Diesel,Dealer,Manual,First Owner,5,1498.0,103.52,Skoda
Hyundai i20 Magna 1.2,2014.0,425000.0,25000.0,Petrol,Individual,Manual,First Owner,5,1197.0,81.83,Hyundai
Maruti Swift Dzire ZDI,2017.0,700000.0,70000.0,Diesel,Individual,Manual,First Owner,5,1248.0,74.02,Maruti
BMW 3 Series 320d Prestige,2013.0,1155000.0,83000.0,Diesel,Dealer,Automatic,First Owner,5,1995.0,184.0,BMW
Honda Mobilio E i VTEC,2015.0,470000.0,40000.0,Petrol,Individual,Manual,First Owner,7,1497.0,117.3,Honda
Nissan Terrano XL Plus 85 PS,2015.0,500000.0,60000.0,Diesel,Individual,Manual,First Owner,5,1461.0,83.8,Nissan
Maruti Swift VXI,2013.0,375000.0,34553.0,Petrol,Dealer,Manual,First Owner,5,1197.0,81.8,Maruti
Maruti Swift VDI BSIV,2015.0,575000.0,63254.0,Diesel,Dealer,Manual,First Owner,5,1248.0,74.0,Maruti
Hyundai Santro Xing XL,2009.0,170000.0,45902.0,Petrol,Dealer,Manual,First Owner,5,1086.0,89.36408206330539,Hyundai
Honda City i-VTEC CVT VX,2018.0,1150000.0,19000.0,Petrol,Dealer,Automatic,First Owner,5,1497.0,117.6,Honda
Maruti Swift Dzire VDi,2009.0,225000.0,120000.0,Diesel,Individual,Manual,Third Owner,5,1248.0,73.9,Maruti
Maruti Swift VDI BSIV,2017.0,630000.0,80000.0,Diesel,Individual,Manual,First Owner,5,1248.0,74.0,Maruti
Honda City i DTEC VX,2015.0,700000.0,50000.0,Diesel,Individual,Manual,First Owner,5,1498.0,98.6,Honda
Maruti Celerio ZXI AT,2016.0,500000.0,30000.0,Petrol,Individual,Automatic,First Owner,5,998.0,67.04,Maruti
Volkswagen Vento 1.5 TDI Highline AT,2014.0,411000.0,90000.0,Diesel,Individual,Automatic,Second Owner,5,1498.0,103.2,Volkswagen
Maruti Alto 800 LXI,2016.0,295000.0,15000.0,Petrol,Individual,Manual,First Owner,5,796.0,47.3,Maruti
Mahindra TUV 300 T6 Plus,2017.0,700000.0,54188.0,Diesel,Individual,Manual,First Owner,7,1493.0,100.0,Mahindra
Honda City i VTEC VX,2017.0,950000.0,37000.0,Petrol,Dealer,Manual,First Owner,5,1497.0,117.3,Honda
Hyundai Creta 1.6 CRDi SX,2016.0,850000.0,58000.0,Diesel,Individual,Manual,First Owner,5,1582.0,126.2,Hyundai
Mahindra Scorpio S4 7 Seater,2016.0,851000.0,48500.0,Diesel,Dealer,Manual,First Owner,7,2179.0,120.0,Mahindra
Maruti Swift Dzire AMT VXI BS IV,2017.0,623000.0,40000.0,Petrol,Individual,Automatic,First Owner,5,1197.0,81.8,Maruti
Honda Accord VTi-L MT,2006.0,200000.0,60000.0,Petrol,Individual,Manual,Third Owner,5,2354.0,144.0,Honda
Maruti Swift Dzire VDi,2010.0,300000.0,120000.0,Diesel,Individual,Manual,Second Owner,5,1248.0,73.9,Maruti
Tata Safari Storme EX,2017.0,835000.0,76759.0,Diesel,Dealer,Manual,First Owner,7,2179.0,147.94,Tata
Maruti Ciaz 1.4 Alpha,2017.0,850000.0,27000.0,Petrol,Individual,Manual,First Owner,5,1373.0,91.1,Maruti
Maruti Ertiga SHVS ZDI,2016.0,875000.0,30000.0,Diesel,Individual,Manual,First Owner,7,1248.0,88.5,Maruti
Toyota Corolla Altis GL MT,2014.0,790000.0,67000.0,Petrol,Dealer,Manual,First Owner,5,1798.0,138.03,Toyota
Maruti SX4 Zxi BSIII,2009.0,200000.0,110000.0,Petrol,Individual,Manual,Third Owner,5,1586.0,104.68,Maruti
BMW 5 Series 520d Luxury Line,2014.0,2325000.0,43000.0,Diesel,Dealer,Automatic,First Owner,5,1995.0,190.0,BMW
Mahindra Scorpio S3 9 Seater BSIV,2018.0,950000.0,27000.0,Diesel,Individual,Manual,First Owner,7,2523.0,75.0,Mahindra
Maruti Alto K10 VXI,2016.0,250000.0,20000.0,Petrol,Individual,Manual,Second Owner,5,998.0,67.05,Maruti
Ford Figo 1.2P Titanium MT,2016.0,595000.0,35000.0,Petrol,Dealer,Manual,First Owner,5,1196.0,86.8,Ford
Tata Safari 2005-2017 Dicor VX 4X2,2007.0,500000.0,60000.0,Diesel,Individual,Manual,First Owner,7,2179.0,138.1,Tata
Renault Duster 110PS Diesel RxZ Pack,2014.0,550000.0,49000.0,Diesel,Individual,Manual,First Owner,5,1461.0,108.45,Renault
Mahindra Scorpio 2009-2014 SLE 7S BSIV,2013.0,450000.0,180000.0,Diesel,Individual,Manual,First Owner,7,2179.0,120.0,Mahindra
Land Rover Discovery Sport 2015-2020 SD4 HSE Luxury 7S,2017.0,4650000.0,35000.0,Diesel,Dealer,Automatic,First Owner,7,2179.0,187.7,Land Rover
Hyundai Verna SX CRDi AT,2014.0,690000.0,68000.0,Diesel,Dealer,Automatic,First Owner,5,1582.0,126.32,Hyundai
Mercedes-Benz M-Class ML 250 CDI,2015.0,2845000.0,35500.0,Diesel,Dealer,Automatic,First Owner,5,2143.0,203.2,Mercedes-Benz
Volkswagen Passat Diesel Highline 2.0 TDI,2012.0,799000.0,104200.0,Diesel,Dealer,Automatic,First Owner,5,1968.0,167.7,Volkswagen
Maruti Baleno Zeta,2018.0,730000.0,33000.0,Petrol,Dealer,Manual,First Owner,5,1197.0,81.8,Maruti
Honda City i-VTEC VX,2019.0,1060000.0,57000.0,Petrol,Dealer,Manual,First Owner,5,1497.0,117.6,Honda
BMW 5 Series 520d Luxury Line,2018.0,4000000.0,23000.0,Diesel,Dealer,Automatic,First Owner,5,1995.0,187.74,BMW
Mercedes-Benz CLA 200 CGI Sport,2016.0,2121000.0,63000.0,Petrol,Dealer,Automatic,First Owner,5,1991.0,183.0,Mercedes-Benz
Mahindra Bolero 2011-2019 SLE,2012.0,500000.0,40000.0,Diesel,Individual,Manual,First Owner,7,2523.0,62.1,Mahindra
Hyundai Creta 1.6 VTVT E,2016.0,850000.0,35000.0,Petrol,Individual,Manual,First Owner,5,1591.0,121.3,Hyundai
Hyundai Creta 1.6 CRDi SX Option,2017.0,1110000.0,186000.0,Diesel,Individual,Manual,First Owner,5,1582.0,126.2,Hyundai
Skoda Rapid 1.6 TDI Elegance,2011.0,411000.0,64481.0,Diesel,Dealer,Manual,Second Owner,5,1598.0,103.5,Skoda
Hyundai Santro Xing GL Plus LPG,2011.0,191000.0,70000.0,LPG,Individual,Manual,First Owner,5,1086.0,62.1,Hyundai
Toyota Innova Crysta 2016-2020 2.4 GX AT,2016.0,1490000.0,35500.0,Diesel,Dealer,Automatic,First Owner,7,2393.0,147.51,Toyota
Maruti Swift Ldi BSIV,2012.0,395000.0,60000.0,Diesel,Dealer,Manual,First Owner,5,1248.0,75.0,Maruti
Toyota Innova Crysta 2016-2020 2.8 ZX AT BSIV,2019.0,2225000.0,27000.0,Diesel,Dealer,Automatic,First Owner,7,2755.0,171.5,Toyota
Isuzu MUX 2WD,2019.0,2300000.0,34000.0,Diesel,Dealer,Automatic,First Owner,7,2999.0,174.57,ISUZU
Volkswagen Polo Petrol Comfortline 1.2L,2011.0,450000.0,110000.0,Petrol,Individual,Manual,First Owner,5,1198.0,73.9,Volkswagen
Maruti Alto K10 LXI,2011.0,135000.0,110048.0,Petrol,Individual,Manual,Third Owner,5,998.0,67.1,Maruti
Volkswagen Ameo 1.2 MPI Comfortline,2016.0,550000.0,21866.0,Petrol,Dealer,Manual,First Owner,5,1198.0,73.75,Volkswagen
Maruti Wagon R LXI,2005.0,89000.0,90000.0,Petrol,Individual,Manual,Second Owner,5,998.0,67.1,Maruti
Mercedes-Benz GLE Class 250d,2018.0,5800000.0,30200.0,Diesel,Dealer,Automatic,First Owner,5,2143.0,201.15,Mercedes-Benz
Chevrolet Beat Diesel LT,2013.0,190000.0,91737.0,Diesel,Dealer,Manual,First Owner,5,936.0,57.6,Chevrolet
Skoda Laura Elegance 2.0 TDI CR MT,2011.0,300000.0,70000.0,Diesel,Individual,Manual,First Owner,5,1968.0,108.5,Skoda
Volkswagen Ameo 1.5 TDI Comfortline,2016.0,575000.0,50000.0,Diesel,Dealer,Manual,First Owner,5,1498.0,108.62,Volkswagen
Skoda Rapid 1.5 TDI AT Elegance,2016.0,675000.0,675000.0,Diesel,Dealer,Automatic,First Owner,5,1498.0,103.52,Skoda
Maruti Baleno Zeta Diesel,2016.0,479000.0,479000.0,Diesel,Dealer,Manual,First Owner,5,1248.0,74.0,Maruti
Mahindra XUV500 W11 BSIV,2019.0,1667000.0000000002,20000.0,Diesel,Individual,Manual,First Owner,7,2179.0,152.87,Mahindra
Tata Indigo eLX BS IV,2011.0,200000.0,100000.0,Diesel,Individual,Manual,First Owner,5,1396.0,69.0,Tata
Hyundai i10 Magna 1.1L,2011.0,225000.0,80000.0,Petrol,Individual,Manual,Second Owner,5,1086.0,68.05,Hyundai
Hyundai Grand i10 1.2 CRDi Era,2017.0,375000.0,73000.0,Diesel,Individual,Manual,First Owner,5,1186.0,73.97,Hyundai
Maruti Wagon R VXI BSII,2014.0,315000.0,86000.0,Petrol,Dealer,Manual,First Owner,5,998.0,67.1,Maruti
Maruti Celerio ZXI,2017.0,350000.0,50000.0,Petrol,Individual,Manual,First Owner,5,998.0,67.04,Maruti
Honda CR-V 2.4L 4WD AT,2016.0,1450000.0,60000.0,Petrol,Dealer,Automatic,First Owner,5,2354.0,187.4,Honda
Mercedes-Benz GLE Class 250d,2016.0,3899000.0,30000.0,Diesel,Dealer,Automatic,First Owner,5,2143.0,201.15,Mercedes-Benz
Hyundai EON Era,2012.0,185000.0,25000.0,Petrol,Individual,Manual,First Owner,5,814.0,55.2,Hyundai
Honda City i DTec VX,2018.0,1150000.0,18000.0,Diesel,Dealer,Manual,First Owner,5,1498.0,98.6,Honda
Maruti Zen Estilo LXI BS IV,2013.0,200000.0,37000.0,Petrol,Individual,Manual,First Owner,5,998.0,67.1,Maruti
Hyundai Verna 1.6 SX CRDi (O),2014.0,527000.0,70355.0,Diesel,Dealer,Manual,First Owner,5,1582.0,126.32,Hyundai
Mahindra Renault Logan 1.5 DLE Diesel,2007.0,180000.0,187000.0,Diesel,Individual,Manual,Second Owner,5,1461.0,65.0,Mahindra
Mahindra XUV500 W5 BSIV,2019.0,1250000.0,15000.0,Diesel,Individual,Manual,First Owner,7,2179.0,152.87,Mahindra
Tata Indica V2 eLX,2012.0,83000.0,90000.0,Diesel,Individual,Manual,Second Owner,5,1396.0,69.0,Tata
Maruti A Star Vxi,2011.0,185000.0,124000.0,Petrol,Dealer,Manual,First Owner,5,998.0,66.1,Maruti
Honda Amaze S i-Dtech,2015.0,388000.0,66000.0,Diesel,Dealer,Manual,First Owner,5,1498.0,98.6,Honda
Honda Jazz 1.2 VX i VTEC,2019.0,825000.0,12000.0,Petrol,Dealer,Manual,First Owner,5,1199.0,88.7,Honda
Tata Nano XT,2015.0,184000.0,29000.0,Petrol,Dealer,Manual,First Owner,4,624.0,37.48,Tata
Hyundai Santa Fe 2WD AT,2014.0,1295000.0,68000.0,Diesel,Dealer,Automatic,First Owner,7,2199.0,194.3,Hyundai
Maruti Alto 800 LXI,2014.0,235000.0,50000.0,Petrol,Individual,Manual,First Owner,5,796.0,47.3,Maruti
Maruti Alto K10 VXI,2017.0,325000.0,3564.0,Petrol,Individual,Manual,First Owner,5,998.0,67.05,Maruti
Maruti Wagon R LXI CNG,2013.0,270000.0,67370.0,CNG,Dealer,Manual,First Owner,5,998.0,58.16,Maruti
Land Rover Range Rover Evoque 2.0 TD4 SE Dynamic,2017.0,4350000.0,45000.0,Diesel,Dealer,Automatic,First Owner,5,1999.0,177.0,Land Rover
Honda Amaze S AT i-Vtech,2017.0,525000.0,45000.0,Petrol,Dealer,Automatic,First Owner,5,1198.0,86.7,Honda
Mahindra Marazzo M6 8Str,2018.0,1200000.0,35000.0,Diesel,Individual,Manual,First Owner,8,1497.0,121.0,Mahindra
Tata Indigo CS LS (TDI) BS III,2009.0,160000.0,70000.0,Diesel,Individual,Manual,First Owner,5,1396.0,69.0,Tata
Volkswagen Polo 2015-2019 1.2 MPI Highline,2014.0,465000.00000000006,18520.0,Petrol,Dealer,Manual,First Owner,5,1199.0,74.0,Volkswagen
Datsun GO Plus T BSIV,2016.0,450000.0,30000.0,Petrol,Individual,Manual,First Owner,7,1198.0,67.0,Datsun
Toyota Innova 2.5 G (Diesel) 8 Seater,2013.0,850000.0,40000.0,Diesel,Individual,Manual,First Owner,8,2494.0,100.6,Toyota
Honda City i VTEC CVT VX,2015.0,765000.0,29000.0,Petrol,Dealer,Automatic,First Owner,5,1497.0,117.3,Honda
Ford Ecosport 2015-2021 1.5 TDCi Titanium Plus BSIV,2015.0,599000.0,69000.0,Diesel,Dealer,Manual,First Owner,5,1498.0,98.59,Ford
Maruti Alto K10 VXI AGS,2019.0,485000.0,13413.0,Petrol,Dealer,Automatic,First Owner,5,998.0,67.05,Maruti
Toyota Innova 2.5 VX (Diesel) 7 Seater BS IV,2013.0,980000.0,127000.0,Diesel,Dealer,Manual,First Owner,7,2494.0,100.0,Toyota
Maruti Swift VDI,2012.0,499000.0,70000.0,Diesel,Individual,Manual,First Owner,5,1248.0,74.0,Maruti
Maruti Alto K10 VXI,2015.0,290000.0,35100.0,Petrol,Dealer,Manual,First Owner,5,998.0,67.05,Maruti
Tata Indica Vista Aqua 1.4 TDI,2010.0,130000.0,90000.0,Diesel,Individual,Manual,First Owner,5,1405.0,71.0,Tata
Maruti Swift VDI BSIV,2011.0,385000.0,42002.0,Diesel,Dealer,Manual,First Owner,5,1248.0,74.0,Maruti
Ford Ecosport 2015-2021 1.5 Diesel Titanium Plus BSIV,2018.0,1050000.0,18000.0,Diesel,Dealer,Manual,First Owner,5,1498.0,98.96,Ford
Maruti SX4 VDI,2013.0,300000.0,82200.0,Diesel,Dealer,Manual,First Owner,5,1248.0,88.8,Maruti
Maruti Wagon R VXI BS IV,2015.0,400000.0,22500.0,Petrol,Individual,Manual,First Owner,5,998.0,67.04,Maruti
Honda City 1.5 V MT,2013.0,560000.0,31000.0,Petrol,Dealer,Manual,First Owner,5,1497.0,118.0,Honda
Hyundai i20 Magna 1.4 CRDi,2015.0,422000.0,60000.0,Diesel,Individual,Manual,First Owner,5,1396.0,88.73,Hyundai
Hyundai i20 1.4 CRDi Asta,2012.0,300000.0,120000.0,Diesel,Individual,Manual,Second Owner,5,1396.0,90.0,Hyundai
Maruti Swift Dzire AMT VXI BS IV,2019.0,660000.0,10000.0,Petrol,Individual,Automatic,First Owner,5,1197.0,81.8,Maruti
Tata Indigo GLX,2012.0,160000.0,100000.0,Petrol,Individual,Manual,First Owner,5,1396.0,65.0,Tata
Maruti Alto 800 CNG LXI,2015.0,216000.0,90000.0,CNG,Individual,Manual,First Owner,5,796.0,47.3,Maruti
Tata Harrier XZ BSIV,2019.0,1595000.0,18000.0,Diesel,Dealer,Manual,First Owner,5,1956.0,138.1,Tata
Mahindra KUV 100 mFALCON G80 K6 AW,2017.0,325000.0,5000.0,Petrol,Individual,Manual,Second Owner,6,1198.0,82.0,Mahindra
Maruti Swift Dzire AMT ZXI Plus BS IV,2018.0,800000.0,12000.0,Petrol,Individual,Automatic,First Owner,5,1197.0,81.8,Maruti
Renault KWID RXT,2016.0,300000.0,30000.0,Petrol,Individual,Manual,First Owner,5,799.0,53.3,Renault
Honda Brio EX MT,2014.0,325000.0,55123.0,Petrol,Dealer,Manual,First Owner,5,1198.0,86.8,Honda
Hyundai EON Magna,2013.0,250000.0,43429.0,Petrol,Dealer,Manual,First Owner,5,814.0,55.0,Hyundai
Hyundai Verna 1.6 SX CRDi (O),2014.0,525000.0,80000.0,Diesel,Individual,Manual,Second Owner,5,1582.0,126.32,Hyundai
Maruti Swift AMT VVT VXI,2019.0,650000.0,5621.0,Petrol,Dealer,Automatic,First Owner,5,1197.0,81.8,Maruti
Maruti Celerio VXI,2016.0,375000.0,70000.0,Petrol,Individual,Manual,First Owner,5,998.0,67.04,Maruti
Hyundai Grand i10 1.2 Kappa Sportz BSIV,2018.0,520000.0,20000.0,Petrol,Individual,Manual,First Owner,5,1197.0,81.86,Hyundai
Mercedes-Benz C-Class C 220 CDI BE Avantgarde,2014.0,1675000.0,51000.0,Diesel,Dealer,Automatic,First Owner,5,2143.0,167.62,Mercedes-Benz
Ford Ecosport 2015-2021 1.5 Diesel Titanium BSIV,2018.0,950000.0,40000.0,Diesel,Individual,Manual,First Owner,5,1498.0,98.96,Ford
Hyundai Creta 1.6 CRDi SX Option,2016.0,1100000.0,96000.0,Diesel,Individual,Manual,First Owner,5,1582.0,126.2,Hyundai
Mahindra Bolero DI,2008.0,190000.0,120000.0,Diesel,Individual,Manual,Second Owner,7,2523.0,63.0,Mahindra
Hyundai Grand i10 1.2 Kappa Asta,2013.0,420000.0,21000.0,Petrol,Individual,Manual,First Owner,5,1197.0,81.86,Hyundai
